pkt arrive time in UTC,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR2,I_FDR3,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1616650125.06618,1.00000,32,255,2,147,1121,2000,PIOC,121,1616650126,0,1,1,0,0,4,9,1001,17.93081666,0,17.93081662,17,30,52.45660829,17,30,52.45660804,0,26.2283017,26.22830659,26.22830678,26.22830126,1,1,1,1
1616650126.06710,1.00092,32,255,2,147,1121,2000,PIOC,121,1616650126,0,1,1,1,0,4,9,1001,17.93085746,0,17.93085744,17,30,52.45660738,17,30,52.45660787,0,26.22830062,26.22830676,26.22830713,26.22830074,1,1,1,1
1616650126.31516,1.00000,23,255,1,147,1111,2000,PIOC,111,1616650126,0,1,1,0,0,4,5,101,17.93085746,0,17.93085745,17,30,52.45660739,17,30,52.45660787,0,26.22830063,26.22830675,26.22830711,26.22830076,1,1,1,1
1616650127.06741,1.00031,32,255,2,147,1121,2000,PIOC,121,1616650126,0,1,1,2,0,4,9,1001,17.93086106,0,17.93086104,17,30,52.4566078,17,30,52.45660772,0,26.22830122,26.22830657,26.22830654,26.22830118,1,1,1,1
1616650127.14351,1.00000,99,255,4,142,1231,2000,BFP,231,1616650127,0,1,1,0,0,5,0,0,17.93086125,0,17.93086122,17,30,52.45660781,17,30,52.45660772,0,26.22830119,26.22830661,26.22830658,26.22830114,1,1,1,1
1616650127.31545,1.00029,23,255,1,147,1111,2000,PIOC,111,1616650126,0,1,1,1,0,4,5,101,17.9308625,0,17.93086249,17,30,52.45660786,17,30,52.45660784,0,26.22830121,26.22830665,26.22830662,26.22830122,1,1,1,1
1616650128.06829,1.00088,32,255,2,147,1121,2000,PIOC,121,1616650126,0,1,1,3,0,4,9,1001,17.93088303,0,17.93088302,17,30,52.45660734,17,30,52.45660697,0,26.228301,26.22830634,26.22830573,26.22830123,1,1,1,1
1616650128.14454,1.00103,99,255,4,142,1231,2000,BFP,231,1616650127,0,1,1,1,0,5,0,0,17.93088364,0,17.9308836,17,30,52.45660742,17,30,52.45660734,0,26.22830098,26.22830643,26.22830643,26.22830091,1,1,1,1
1616650128.31637,1.00092,23,255,1,147,1111,2000,PIOC,111,1616650126,0,1,1,2,0,4,5,101,17.93088865,0,17.93088858,17,30,52.45660718,17,30,52.45660731,0,26.22830132,26.22830586,26.22830732,26.2283,1,1,1,1
1616650128.86628,1.00000,11,255,3,152,1131,2000,PIOC,131,1616650129,0,1,1,0,0,7,0,0,17.9308905,0,17.93089079,17,30,52.45659582,17,30,52.45660192,0,26.22829458,26.22830124,26.22831092,26.22829099,1,1,1,1
