year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR2,I_FDR3,I_FDR4
2021,3,25,15,28,44,325,1616650124.325000,0,0,0,0,0,0,0,0,0,0,0,
2021,3,25,15,28,44,457,1616650124.457000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,44,571,1616650124.571000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,44,686,1616650124.686000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,44,806,1616650124.806000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,44,924,1616650124.924000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,45,37,1616650125.037000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,45,157,1616650125.157000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,45,272,1616650125.272000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,45,388,1616650125.388000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,45,506,1616650125.506000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,45,622,1616650125.622000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,45,740,1616650125.740000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,45,855,1616650125.855000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,45,969,1616650125.969000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,46,86,1616650126.086000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,46,202,1616650126.202000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,46,320,1616650126.320000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,46,436,1616650126.436000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,46,549,1616650126.549000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,46,662,1616650126.662000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,46,780,1616650126.780000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,46,893,1616650126.893000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,47,7,1616650127.007000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,47,124,1616650127.124000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,47,243,1616650127.243000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,47,361,1616650127.361000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,47,479,1616650127.479000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,47,594,1616650127.594000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,47,708,1616650127.708000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,47,824,1616650127.824000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,47,941,1616650127.941000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,48,58,1616650128.058000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,48,173,1616650128.173000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,48,288,1616650128.288000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,48,411,1616650128.411000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,48,537,1616650128.537000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,48,656,1616650128.656000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,48,771,1616650128.771000,0,0,0,0,0,0,0,26,26,26,26,
2021,3,25,15,28,48,887,1616650128.887000,0,0,0,0,0,0,0,26,26,26,26,
