pkt arrive time in UTC,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR2,I_FDR3,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1619331783.57325,1.00000,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,0,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331783.87687,1.00000,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,0,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331784.57365,1.00040,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,1,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331784.87727,1.00040,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,1,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331785.12926,1.00000,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,0,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331785.57421,1.00056,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,2,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331785.60145,1.00000,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,0,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331785.87777,1.00050,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,2,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331786.12943,1.00017,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,1,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331786.57481,1.00060,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,3,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331786.60210,1.00065,11,255,3,152,1131,2000,PIOC,131,1619331784,0,1,1,1,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331786.87827,1.00050,32,255,2,147,1121,2000,PIOC,121,1619331782,0,1,1,3,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331787.12996,1.00053,23,255,1,147,1111,2000,PIOC,111,1619331784,0,1,1,2,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
1619331787.57507,1.00026,99,255,4,142,1231,2000,BFP,231,1619331782,0,1,1,4,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,26,26,1,1,1,1
