year,month,day,hour,minute,second,millisecond,UTC,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,open_CB1-FDR1,open_CB2-FDR2,open_CB-FDR3,open_CB-FDR4,I_FDR1,I_FDR2,I_FDR3,I_FDR4
2021,4,25,16,22,59,188,1619331779.188000,0,0,0,0,0,0,0,0,0,0,0,
2021,4,25,16,22,59,323,1619331779.323000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,22,59,438,1619331779.438000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,22,59,561,1619331779.561000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,22,59,675,1619331779.675000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,22,59,790,1619331779.790000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,22,59,914,1619331779.914000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,0,28,1619331780.028000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,0,144,1619331780.144000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,0,269,1619331780.269000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,0,391,1619331780.391000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,0,508,1619331780.508000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,0,623,1619331780.623000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,0,739,1619331780.739000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,0,862,1619331780.862000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,0,984,1619331780.984000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,1,100,1619331781.100000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,1,218,1619331781.218000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,1,334,1619331781.334000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,1,449,1619331781.449000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,1,564,1619331781.564000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,1,678,1619331781.678000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,1,800,1619331781.800000,0,0,0,0,0,0,0,26,26,26,26,
2021,4,25,16,23,1,917,1619331781.917000,0,0,0,0,0,0,0,26,26,26,26,
