year,month,day,hour,minute,second,millisecond,UTC,open_CB1-66KV,open_CB2-66KV,open_CB-TRSF1,open_CB2-22KV,I_CB1-66KV,I_CB2-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_CB2-22KV
2021,4,25,16,22,58,880,1619331778.880000,0,0,0,0,0,0,0,0,0,0,
2021,4,25,16,22,59,6,1619331779.006000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,22,59,121,1619331779.121000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,22,59,242,1619331779.242000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,22,59,364,1619331779.364000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,22,59,480,1619331779.480000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,22,59,605,1619331779.605000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,22,59,726,1619331779.726000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,22,59,844,1619331779.844000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,22,59,966,1619331779.966000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,0,83,1619331780.083000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,0,203,1619331780.203000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,0,327,1619331780.327000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,0,450,1619331780.450000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,0,574,1619331780.574000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,0,693,1619331780.693000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,0,811,1619331780.811000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,0,925,1619331780.925000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,1,39,1619331781.039000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,1,156,1619331781.156000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,1,275,1619331781.275000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,1,391,1619331781.391000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,1,509,1619331781.509000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,1,624,1619331781.624000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,1,738,1619331781.738000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,1,852,1619331781.852000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,1,969,1619331781.969000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,2,90,1619331782.090000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,2,207,1619331782.207000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,2,329,1619331782.329000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,2,446,1619331782.446000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,2,569,1619331782.569000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,2,689,1619331782.689000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,2,813,1619331782.813000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,2,936,1619331782.936000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,3,51,1619331783.051000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,3,170,1619331783.170000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,3,288,1619331783.288000,0,1,0,1,17,0,17,30,52,0,
2021,4,25,16,23,3,410,1619331783.410000,0,1,0,1,17,0,17,30,52,0,
