Heartbeat,MACsrc,APPID,GOOSElength,gocbRef,Dif_St,Dif_Sq,num of data,data_Dec,Label
1,23,1,147,1111,0,1,4,5,0
1,32,2,147,1121,0,1,4,9,0
1.00105,23,1,147,1111,0,1,4,5,0
0.99944,32,2,147,1121,0,1,4,9,0
1.00049,23,1,147,1111,0,1,4,5,0
1,99,4,142,1231,0,1,5,0,0
1.00045,32,2,147,1121,0,1,4,9,0
1.00049,23,1,147,1111,0,1,4,5,0
1,11,3,152,1131,0,1,7,0,0
1.00144,32,2,147,1121,0,1,4,9,0
1.00308,99,4,142,1231,0,1,5,0,0
1.00043,23,1,147,1111,0,1,4,5,0
1.00038,11,3,152,1131,0,1,7,0,0
0.99984,32,2,147,1121,0,1,4,9,0
1.0006,99,4,142,1231,0,1,5,0,0
1.00027,23,1,147,1111,0,1,4,5,0
1.00158,11,3,152,1131,0,1,7,0,0
1.00089,32,2,147,1121,0,1,4,9,0
1.00045,99,4,142,1231,0,1,5,0,0
1.0017,23,1,147,1111,0,1,4,5,0
1.00079,11,3,152,1131,0,1,7,0,0
1.00194,32,2,147,1121,0,1,4,9,0
1.00237,99,4,142,1231,0,1,5,0,0
0.99936,23,1,147,1111,0,1,4,5,0
1.00083,11,3,152,1131,0,1,7,0,0
0.99937,32,2,147,1121,0,1,4,9,0
0.99905,99,4,142,1231,0,1,5,0,0
1.00099,23,1,147,1111,0,1,4,5,0
1.0002,11,3,152,1131,0,1,7,0,0
1.00087,32,2,147,1121,0,1,4,9,0
1.00128,99,4,142,1231,0,1,5,0,0
1.00115,23,1,147,1111,0,1,4,5,0
1.00101,11,3,152,1131,0,1,7,0,0
1.00041,32,2,147,1121,0,1,4,9,0
0.99927,99,4,142,1231,0,1,5,0,0
1.0007,23,1,147,1111,0,1,4,5,0
1.00052,11,3,152,1131,0,1,7,0,0
1.00066,32,2,147,1121,0,1,4,9,0
1.00026,99,4,142,1231,0,1,5,0,0
1.00025,23,1,147,1111,0,1,4,5,0
1.00049,11,3,152,1131,0,1,7,0,0
1.00054,32,2,147,1121,0,1,4,9,0
1.0006,99,4,142,1231,0,1,5,0,0
1.00118,23,1,147,1111,0,1,4,5,0
1.00028,11,3,152,1131,0,1,7,0,0
1.00062,32,2,147,1121,0,1,4,9,0
1.00023,99,4,142,1231,0,1,5,0,0
1.00183,23,1,147,1111,0,1,4,5,0
1.00029,11,3,152,1131,0,1,7,0,0
1.00054,32,2,147,1121,0,1,4,9,0
1.00088,99,4,142,1231,0,1,5,0,0
1.00009,23,1,147,1111,0,1,4,5,0
1.00031,11,3,152,1131,0,1,7,0,0
1.00044,32,2,147,1121,0,1,4,9,0
1.00041,99,4,142,1231,0,1,5,0,0
1.00067,23,1,147,1111,0,1,4,5,0
1.00074,11,3,152,1131,0,1,7,0,0
1.00048,99,4,142,1231,0,1,5,0,0
1.00192,32,2,147,1121,0,1,4,9,0
1.00024,23,1,147,1111,0,1,4,5,0
1.00072,11,3,152,1131,0,1,7,0,0
1.00051,99,4,142,1231,0,1,5,0,0
1.00072,32,2,147,1121,0,1,4,9,0
1.00097,23,1,147,1111,0,1,4,5,0
1.001,11,3,152,1131,0,1,7,0,0
0.9998,32,2,147,1121,0,1,4,9,0
1.00102,99,4,142,1231,0,1,5,0,0
0.99962,23,1,147,1111,0,1,4,5,0
1.00105,11,3,152,1131,0,1,7,0,0
1.00069,32,2,147,1121,0,1,4,9,0
1.00043,99,4,142,1231,0,1,5,0,0
1.0015,23,1,147,1111,0,1,4,5,0
1.00033,11,3,152,1131,0,1,7,0,0
1.00039,32,2,147,1121,0,1,4,9,0
1.00026,99,4,142,1231,0,1,5,0,0
1.00109,23,1,147,1111,0,1,4,5,0
1.00018,11,3,152,1131,0,1,7,0,0
1.00031,99,4,142,1231,0,1,5,0,0
1.0004,32,2,147,1121,0,1,4,9,0
1.00038,23,1,147,1111,0,1,4,5,0
1.00046,11,3,152,1131,0,1,7,0,0
1.00033,32,2,147,1121,0,1,4,9,0
1.00069,99,4,142,1231,0,1,5,0,0
1.00037,23,1,147,1111,0,1,4,5,0
1.0006,11,3,152,1131,0,1,7,0,0
1.00041,32,2,147,1121,0,1,4,9,0
1.00005,99,4,142,1231,0,1,5,0,0
1.00041,23,1,147,1111,0,1,4,5,0
1.00056,11,3,152,1131,0,1,7,0,0
1.00039,99,4,142,1231,0,1,5,0,0
1.00039,32,2,147,1121,0,1,4,9,0
1.0002,23,1,147,1111,0,1,4,5,0
1.0003,11,3,152,1131,0,1,7,0,0
1.00044,99,4,142,1231,0,1,5,0,0
1.00044,32,2,147,1121,0,1,4,9,0
1.00059,23,1,147,1111,0,1,4,5,0
1.00044,11,3,152,1131,0,1,7,0,0
1.00033,32,2,147,1121,0,1,4,9,0
1.00035,99,4,142,1231,0,1,5,0,0
1.00022,23,1,147,1111,0,1,4,5,0
1.00129,11,3,152,1131,0,1,7,0,0
1.00035,99,4,142,1231,0,1,5,0,0
1.00073,32,2,147,1121,0,1,4,9,0
1.0004,23,1,147,1111,0,1,4,5,0
0.99939,11,3,152,1131,0,1,7,0,0
1.00036,99,4,142,1231,0,1,5,0,0
1.00047,32,2,147,1121,0,1,4,9,0
1.00092,23,1,147,1111,0,1,4,5,0
1.00029,11,3,152,1131,0,1,7,0,0
1.00038,99,4,142,1231,0,1,5,0,0
1.00041,32,2,147,1121,0,1,4,9,0
1.00044,23,1,147,1111,0,1,4,5,0
1.00145,11,3,152,1131,0,1,7,0,0
1.00047,99,4,142,1231,0,1,5,0,0
1.00052,32,2,147,1121,0,1,4,9,0
1.00048,23,1,147,1111,0,1,4,5,0
0.99946,11,3,152,1131,0,1,7,0,0
1.00014,99,4,142,1231,0,1,5,0,0
1.00077,32,2,147,1121,0,1,4,9,0
1.00038,23,1,147,1111,0,1,4,5,0
1.00036,11,3,152,1131,0,1,7,0,0
1.00114,99,4,142,1231,0,1,5,0,0
1.00031,32,2,147,1121,0,1,4,9,0
1.0014,23,1,147,1111,0,1,4,5,0
1.00084,11,3,152,1131,0,1,7,0,0
1.0004,99,4,142,1231,0,1,5,0,0
1.00015,32,2,147,1121,0,1,4,9,0
1.00026,23,1,147,1111,0,1,4,5,0
1.00053,11,3,152,1131,0,1,7,0,0
1.00053,99,4,142,1231,0,1,5,0,0
1.00043,32,2,147,1121,0,1,4,9,0
1.00157,23,1,147,1111,0,1,4,5,0
1.00052,11,3,152,1131,0,1,7,0,0
1.00017,99,4,142,1231,0,1,5,0,0
1.00018,32,2,147,1121,0,1,4,9,0
1.00033,23,1,147,1111,0,1,4,5,0
1.0003,11,3,152,1131,0,1,7,0,0
1.00027,32,2,147,1121,0,1,4,9,0
1.00028,99,4,142,1231,0,1,5,0,0
1.0004,23,1,147,1111,0,1,4,5,0
1.00131,11,3,152,1131,0,1,7,0,0
1.00021,99,4,142,1231,0,1,5,0,0
1.00032,32,2,147,1121,0,1,4,9,0
1.00054,23,1,147,1111,0,1,4,5,0
1.00065,11,3,152,1131,0,1,7,0,0
1.00039,99,4,142,1231,0,1,5,0,0
1.00044,32,2,147,1121,0,1,4,9,0
1.00051,23,1,147,1111,0,1,4,5,0
1.00119,11,3,152,1131,0,1,7,0,0
1.00026,99,4,142,1231,0,1,5,0,0
1.00094,32,2,147,1121,0,1,4,9,0
1.00022,23,1,147,1111,0,1,4,5,0
1.00113,11,3,152,1131,0,1,7,0,0
1.00033,99,4,142,1231,0,1,5,0,0
1.00087,32,2,147,1121,0,1,4,9,0
1.00108,23,1,147,1111,0,1,4,5,0
1.00126,11,3,152,1131,0,1,7,0,0
1.00026,99,4,142,1231,0,1,5,0,0
1.00036,32,2,147,1121,0,1,4,9,0
1.00136,23,1,147,1111,0,1,4,5,0
0.99939,11,3,152,1131,0,1,7,0,0
1.0006,99,4,142,1231,0,1,5,0,0
1.00091,32,2,147,1121,0,1,4,9,0
1.0004,23,1,147,1111,0,1,4,5,0
1.00061,11,3,152,1131,0,1,7,0,0
1.00078,99,4,142,1231,0,1,5,0,0
0.99974,32,2,147,1121,0,1,4,9,0
1.00189,23,1,147,1111,0,1,4,5,0
1.00044,11,3,152,1131,0,1,7,0,0
1.00018,99,4,142,1231,0,1,5,0,0
