Heartbeat,MACsrc,APPID,GOOSElength,gocbRef,Dif_St,Dif_Sq,num of data,data_Dec,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4,Label
1,32,2,147,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00097,32,2,147,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00073,32,2,147,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1,23,1,147,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1,99,4,142,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1,11,3,152,1131,0,1,7,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00084,32,2,147,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00027,23,1,147,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00079,99,4,142,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00127,11,3,152,1131,0,1,7,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00052,32,2,147,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00122,23,1,147,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
0.99994,99,4,142,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00041,11,3,152,1131,0,1,7,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00054,32,2,147,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00141,23,1,147,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00033,99,4,142,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00039,11,3,152,1131,0,1,7,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00057,32,2,147,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
0.99986,23,1,147,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00086,99,4,142,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
0.99983,11,3,152,1131,0,1,7,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00037,32,2,147,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00037,23,1,147,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00085,99,4,142,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00018,11,3,152,1131,0,1,7,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00071,32,2,147,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00037,23,1,147,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00092,99,4,142,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
0.99968,11,3,152,1131,0,1,7,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00034,32,2,147,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00036,23,1,147,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.0001,99,4,142,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
0.99952,11,3,152,1131,0,1,7,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00102,32,2,147,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00041,23,1,147,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00041,99,4,142,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
0.99986,11,3,152,1131,0,1,7,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00071,32,2,147,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00072,23,1,147,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.0008,99,4,142,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
0.9999,11,3,152,1131,0,1,7,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00101,32,2,147,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00101,23,1,147,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00018,99,4,142,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
0.99981,11,3,152,1131,0,1,7,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00054,32,2,147,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00047,23,1,147,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00076,99,4,142,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
0.99986,11,3,152,1131,0,1,7,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00033,32,2,147,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00034,23,1,147,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00009,99,4,142,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
0.99943,11,3,152,1131,0,1,7,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00035,32,2,147,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00038,23,1,147,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00031,99,4,142,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
0.99989,11,3,152,1131,0,1,7,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00025,32,2,147,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00041,23,1,147,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00043,99,4,142,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
0.99942,11,3,152,1131,0,1,7,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.0008,32,2,147,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.0008,23,1,147,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.0008,99,4,142,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
0.99995,11,3,152,1131,0,1,7,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00059,32,2,147,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00007,23,1,147,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
