year,month,day,hour,minute,second,millisecond,UTC,open_CB-TRSF1,open_CB-TRSF2,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
2021,3,25,15,28,44,488,1616650124.488000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,44,609,1616650124.609000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,44,723,1616650124.723000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,44,842,1616650124.842000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,44,956,1616650124.956000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,45,70,1616650125.070000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,45,188,1616650125.188000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,45,308,1616650125.308000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,45,426,1616650125.426000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,45,540,1616650125.540000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,45,656,1616650125.656000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,45,771,1616650125.771000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,45,886,1616650125.886000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,46,5,1616650126.005000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,46,121,1616650126.121000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,46,233,1616650126.233000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,46,348,1616650126.348000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,46,465,1616650126.465000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,46,578,1616650126.578000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,46,692,1616650126.692000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,46,809,1616650126.809000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,46,929,1616650126.929000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,47,43,1616650127.043000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,47,161,1616650127.161000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,47,274,1616650127.274000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,47,387,1616650127.387000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,47,501,1616650127.501000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,47,619,1616650127.619000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,47,735,1616650127.735000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,47,853,1616650127.853000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,47,968,1616650127.968000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,48,89,1616650128.089000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,48,213,1616650128.213000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,48,331,1616650128.331000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,48,449,1616650128.449000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,48,564,1616650128.564000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,48,682,1616650128.682000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,48,801,1616650128.801000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,48,921,1616650128.921000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,49,39,1616650129.039000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,49,157,1616650129.157000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,49,271,1616650129.271000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,49,390,1616650129.390000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,49,502,1616650129.502000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,49,621,1616650129.621000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,49,740,1616650129.740000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,49,855,1616650129.855000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,49,973,1616650129.973000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,50,95,1616650130.095000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,50,210,1616650130.210000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,50,325,1616650130.325000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,50,441,1616650130.441000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,50,555,1616650130.555000,0,0,0,0,0,1,1,1,1,
2021,3,25,15,28,50,673,1616650130.673000,0,0,0,0,0,1,1,1,1,
