year,month,day,hour,minute,second,millisecond,UTC,open_CB2-66KV,open_CB3-66KV,open_CB-TRSF2,open_CB2-22KV,I_CB2-66KV,I_CB3-66KV,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV
2021,3,25,15,28,39,347,1616650119.347000,1,0,0,1,0,0,0,0,0,0,
2021,3,25,15,28,39,468,1616650119.468000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,39,588,1616650119.588000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,39,703,1616650119.703000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,39,821,1616650119.821000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,39,939,1616650119.939000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,40,56,1616650120.056000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,40,170,1616650120.170000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,40,288,1616650120.288000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,40,408,1616650120.408000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,40,535,1616650120.535000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,40,657,1616650120.657000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,40,779,1616650120.779000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,40,893,1616650120.893000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,41,14,1616650121.014000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,41,132,1616650121.132000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,41,247,1616650121.247000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,41,366,1616650121.366000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,41,482,1616650121.482000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,41,594,1616650121.594000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,41,712,1616650121.712000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,41,831,1616650121.831000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,41,955,1616650121.955000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,42,70,1616650122.070000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,42,191,1616650122.191000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,42,303,1616650122.303000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,42,429,1616650122.429000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,42,544,1616650122.544000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,42,658,1616650122.658000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,42,773,1616650122.773000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,42,888,1616650122.888000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,43,2,1616650123.002000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,43,121,1616650123.121000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,43,240,1616650123.240000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,43,352,1616650123.352000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,43,467,1616650123.467000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,43,592,1616650123.592000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,43,708,1616650123.708000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,43,826,1616650123.826000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,43,943,1616650123.943000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,44,59,1616650124.059000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,44,174,1616650124.174000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,44,285,1616650124.285000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,44,398,1616650124.398000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,44,524,1616650124.524000,1,0,0,1,0,17,17,30,52,0,
2021,3,25,15,28,44,643,1616650124.643000,1,0,0,1,0,17,17,30,52,0,
