year,month,day,hour,minute,second,millisecond,UTC,open_CB-TRSF1,open_CB-TRSF2,open_CB1-22KV,open_CB2-22KV,open_CB3-22KV,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
2021,4,25,16,22,59,387,1619331779.387000,0,0,0,0,0,0,0,0,0,
2021,4,25,16,22,59,510,1619331779.510000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,22,59,626,1619331779.626000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,22,59,747,1619331779.747000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,22,59,869,1619331779.869000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,22,59,990,1619331779.990000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,0,105,1619331780.105000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,0,224,1619331780.224000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,0,345,1619331780.345000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,0,471,1619331780.471000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,0,591,1619331780.591000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,0,709,1619331780.709000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,0,830,1619331780.830000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,0,947,1619331780.947000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,1,66,1619331781.066000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,1,189,1619331781.189000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,1,305,1619331781.305000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,1,421,1619331781.421000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,1,534,1619331781.534000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,1,648,1619331781.648000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,1,763,1619331781.763000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,1,881,1619331781.881000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,1,999,1619331781.999000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,2,114,1619331782.114000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,2,233,1619331782.233000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,2,355,1619331782.355000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,2,473,1619331782.473000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,2,591,1619331782.591000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,2,705,1619331782.705000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,2,825,1619331782.825000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,2,945,1619331782.945000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,3,62,1619331783.062000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,3,185,1619331783.185000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,3,299,1619331783.299000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,3,413,1619331783.413000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,3,528,1619331783.528000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,3,643,1619331783.643000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,3,757,1619331783.757000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,3,881,1619331783.881000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,4,5,1619331784.005000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,4,123,1619331784.123000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,4,242,1619331784.242000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,4,360,1619331784.360000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,4,478,1619331784.478000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,4,605,1619331784.605000,0,0,0,0,0,1,1,1,1,
2021,4,25,16,23,4,725,1619331784.725000,0,0,0,0,0,1,1,1,1,
